Symbol;Name;AssetId
CSAN3;COSAN ON;0
CSCO34;CISCO DRN;0
CSMG3;COPASA ON;0
CSNA3;SID NACIONAL ON;0
CSRN3;COSERN ON;0
CTGP34;CITIGROUP DRN;0
CTKA3;KARSTEN ON;0
CTKA4;KARSTEN PN;0
CTNM3;COTEMINAS ON;0
CTNM4;COTEMINAS PN;0
CTSA3;SANTANENSE ON;0
CTSA4;SANTANENSE PN;0
CTXT11;FII C TEXTIL;0
CVCB3;CVC BRASIL ON;0
CVSH34;CVS HEALTH DRN;0
CXCE11B;FII CX CEDAE;0
CXRI11;FII CX RBRAV;0
CXTL11;FII CX TRX;0
CYRE3;CYRELA REALT ON;0
DASA3;DASA ON;0
DEAI34;DELTA DRN;0
DHER34;DANAHER CORP DRN;0
DIRR3;DIRECIONAL ON;0
DISB34;WALT DISNEY DRN;0
DIVO11;IT NOW IDIV CI;0
DMAC11;FII MAC;0
DMMO3;DOMMO ON;0
DOHL4;DOHLER PN;0
DOMC11;FII DOMO;0
DRIT11B;FII MTGESTAO;0
DTCY3;DTCOM-DIRECT ON;0
DTEX3;DURATEX ON;0
DUKB34;DUKE ENERGY DRN;0
EALT3;ACO ALTONA ON;0
EALT4;ACO ALTONA PN;0
EBAY34;EBAY DRN;0
ECOO11;ISHARES ECOO CI;0
ECOR3;ECORODOVIAS ON;0
ECPR3;ENCORPAR ON;0
ECPR4;ENCORPAR PN;0
EDFO11B;FII OURINVES;0
EDGA11;FII GALERIA;0
EEEL3;CEEE-GT ON;0
EEEL4;CEEE-GT PN;0
EGIE3;ENGIE BRASIL ON;0
EKTR3;ELEKTRO ON;0
EKTR4;ELEKTRO PN;0
ELEK3;ELEKEIROZ ON;0
ELEK4;ELEKEIROZ PN;0
ELET3;ELETROBRAS ON;0
ELET5;ELETROBRAS PNA;0
ELET6;ELETROBRAS PNB;0
ELPL3;ELETROPAULO ON;0
EMAE3;EMAE ON;0
EMAE4;EMAE PN;0
EMBR3;EMBRAER ON;0
ENAT3;ENAUTA PART;0
ENBR3;ENERGIAS BR ON;0
ENEV3;ENEVA ON;0
ENGI11;ENERGISA UNT;0
ENGI3;ENERGISA ON;0
ENGI4;ENERGISA PN;0
ENMA3B;CEMAR;0
ENMT3;ENERGISA MT ON;0
ENMT4;ENERGISA MT PN;0
EQTL3;EQUATORIAL ON;0
ESTR4;ESTRELA PN;0
ETER3;ETERNIT ON;0
EUCA3;EUCATEX ON;0
EUCA4;EUCATEX PN;0
EURO11;FII EUROPAR;0
EVEN3;EVEN ON;0
EXXO34;EXXON MOBIL DRN;0
EZTC3;EZTEC ON;0
FAED11;FII ANH EDUC;0
FAMB11B;FII ALMIRANT;0
FBOK34;FACEBOOK DRN;0
FCFL11;FII CAMPUSFL;0
FCXO34;FREEPORT DRN;0
FDMO34;FORD MOTORS DRN;0
FDXB34;FEDEX CORP DRN;0
FESA3;FERBASA ON;0
FESA4;FERBASA PN;0
FEXC11;FII EXCELLEN;0
FFCI11;FII RIOB RC;0
FHER3;FER HERINGER ON;0
FIGS11;FII GEN SHOP;0
FIIB11;FII INDL BR;0
FIIP11B;FII RB CAP I;0
FIND11;IT NOW IFNC CI;0
FIVN11;FII VIDANOVA;0
FIXX11;FII FATORFIX;0
FJTA3;FORJA TAURUS ON;0
FJTA4;FORJA TAURUS PN;0
FLMA11;FII S F LIMA;0
FLRP11;FII FLORIPA;0
FLRY3;FLEURY ON;0
FMOF11;FII MEMORIAL;0
FOFT11;FII CSHGFOFT;0
FPAB11;FII A BRANCA;0
FRAS3;FRAS-LE ON;0
FRIO3;METALFRIO ON;0
FRTA3;POMIFRUTAS ON;0
FVBI11;FII VBI 4440;0
FVPQ11;FII V PARQUE;0
GBIO33;BIOTOSCANA DR3;0
GDBR34;GEN DYNAMICS DRN;0
GEOO34;GE DRN;0
GEPA3;GER PARANAP ON;0
GEPA4;GER PARANAP PN;0
GFSA3;GAFISA ON;0
GGBR3;GERDAU ON;0
GGBR4;GERDAU PN;0
GGRC11;FII GGRCOVEP;0
GILD34;GILEAD DRN;0
GMCO34;GENERAL MOT DRN;0
GNDI3;INTERMEDICA ON;0
GOAU3;GERDAU MET ON;0
GOAU4;GERDAU MET PN;0
GOGL34;ALPHABET DRN;0
GOGL35;ALPHABET DRN;0
GOLL4;GOL PN;0
GOVE11;IT NOW IGCT CI;0
GPCP3;GPC PART ON;0
GPIV33;GP INVEST DR3;0
GRLV11;FII LOUVEIRA;0
GRND3;GRENDENE ON;0
GSFI11;FII GENERAL;0
GSGI34;GOLDMANSACHS DRN;0
GSHP3;GENERALSHOPP ON;0
GTWR11;FII G TOWERS;0
GUAR3;GUARARAPES ON;0
HAGA3;HAGA S/A ON;0
HAGA4;HAGA S/A PN;0
HAPV3;HAPVIDA ON;0
HBOR3;HELBOR ON;0
HBTS5;HABITASUL PNA;0
HBTT11;FII HABITAT;0
HCRI11;FII CRIANCA;0
HCTR11;FII HECTARE;0
HETA3;HERCULES ON;0
HETA4;HERCULES PN;0
HFOF11;FII HEDGEFOF;0
HGBS11;FII CSHGSHOP;0
HGCR11;FII CSHG CRI;0
HGLG11;FII CSHG LOG;0
HGPO11;FII CSHGPRIM;0
HGRE11;FII HG REAL;0
HGRU11;FII CSHG URB;0
HGTX3;CIA HERING ON;0
HMOC11;FII HEDMOCA;0
HOME34;HOME DEPOT DRN;0
HONB34;HONEYWELL DRN;0
HOOT4;HOTEIS OTHON PN;0
HPQB34;HP COMPANY DRN;0
HSHY34;HERSHEY CO DRN;0
HSML11;FII HSI MALL;0
HTMX11;FII HOTEL MX;0
HUSC11;FII H UNIMED;0
HYPE3;HYPERMARCAS ON;0
IBMB34;IBM DRN;0
IBOV11;IBOVESPA IBO;0
IDNT3;IDEIASNET ON;0
IDVL3;INDUSVAL ON;0
IDVL4;INDUSVAL PN;0
IGBR3;IGB S/A ON;0
IGTA3;IGUATEMI ON;0
INEP3;INEPAR ON;0
INEP4;INEPAR PN;0
IRBR3;IRBBRASIL RE ON;0
IRDM11;FII IRIDIUM;0
ISUS11;IT NOW ISE CI;0
ITLC34;INTEL DRN;0
ITSA3;ITAUSA ON;0
ITSA4;ITAUSA PN;0
ITUB3;ITAUUNIBANCO ON;0
ITUB4;ITAUUNIBANCO PN;0
IVVB11;ISHARE SP500 CI;0
JBDU3;J B DUARTE ON;0
JBDU4;J B DUARTE PN;0
JBSS3;JBS ON;0
JFEN3;JOAO FORTES ON;0
JHSF3;JHSF PART ON;0
JNJB34;JOHNSON DRN;0
JOPA3;JOSAPAR ON;0
JOPA4;JOSAPAR PN;0
JPMC34;JPMORGAN DRN;0
JPSA3;JEREISSATI;0
JRDM11;FII SHOPJSUL;0
JSLG3;JSL ON;0
JSRE11;FII JS REAL;0
KEPL3;KEPLER WEBER ON;0
KFOF11;FII KINEAFOF;0
KHCB34;KRAFT HEINZ DRN;0
KLBN11;KLABIN S/A UNT;0
KLBN3;KLABIN S/A ON;0
KLBN4;KLABIN S/A PN;0
KNCR11;FII KINEA RI;0
KNHY11;FII KINEA HY;0
KNIP11;FII KINEA IP;0
KNRE11;FII KII REAL;0
KNRI11;FII KINEA;0
KROT3;KROTON ON;0
LAME3;LOJAS AMERIC ON;0
LAME4;LOJAS AMERIC PN;0
LATR11B;FII LATERES;0
LBRN34;L BRANDS DRN;0
LCAM3;LOCAMERICA ON;0
LEVE3;METAL LEVE ON;0
LIGT3;LIGHT S/A ON;0
LINX3;LINX ON;0
LIPR3;ELETROPAR ON;0
LIQO3;LIQ;0
LLIS3;LE LIS BLANC ON;0
LMTB34;LOCKHEED DRN;0
LOFT11B;FII LOFT I;0
LOGG3;LOG COM PROP ON;0
LOGN3;LOG-IN ON;0
LPSB3;LOPES BRASIL ON;0
LREN3;LOJAS RENNER ON;0
LUPA3;LUPATECH ON;0
LUXM4;TREVISA PN;0
LVBI11;FII VBI LOG;0
MACY34;MACY S DRN;0
MALL11;FII MALLS BP;0
MAPT4;CEMEPE PN;0
MATB11;IT NOW IMAT CI;0
MAXR11;FII MAX RET;0
MBRF11;FII MERC BR;0
MCDC34;MCDONALDS DRN;0
MDIA3;M.DIASBRANCO ON;0
MDLZ34;MONDELEZ INT DRN;0
MEAL3;IMC S/A ON;0
MEND5;MENDES JR PNA;0
MEND6;MENDES JR PNB;0
MERC3;MERC FINANC ON;0
METB34;METLIFE INC DRN;0
MFII11;FII MERITO I;0
MGEL4;MANGELS INDL PN;0
MGFF11;FII MOGNO;0
MGLU3;MAGAZ LUIZA ON;0
MILS3;MILLS ON;0
MMMC34;3M DRN;0
MMXM3;MMX MINER ON;0
MNDL3;MUNDIAL ON;0
MNPR3;MINUPAR ON;0
MOSC34;MOSAIC CO DRN;0
MOVI3;MOVIDA ON;0
MRCK34;MERCK DRN;0
MRFG3;MARFRIG ON;0
MRSA3B;MRS LOGIST;0
MRSA5B;MRS LOGIST;0
MRSA6B;MRS LOGIST;0
MRVE3;MRV ON;0
MSBR34;MORGAN STAN DRN;0
MSCD34;MASTERCARD DRN;0
MSFT34;MICROSOFT DRN;0
MTSA3;METISA ON;0
MTSA4;METISA PN;0
MULT3;MULTIPLAN ON;0
MWET3;WETZEL S/A ON;0
MWET4;WETZEL S/A PN;0
MXRF11;FII MAXI REN;0
MYPK3;IOCHP-MAXION ON;0
NAFG4;NADIR FIGUEI PN;0
NATU3;NATURA ON;0
NEOE3;NEOENERGIA;0
NFLX34;NETFLIX DRN;0
NIKE34;NIKE DRN;0
NORD3;NORDON MET ON;0
NSLU11;FII LOURDES;0
NUTR3;NUTRIPLANT ON;0
NVHO11;FII NOVOHORI;0
ODPV3;ODONTOPREV ON;0
OFSA3;OUROFINO S/A ON;0
OIBR3;OI ON;0
OIBR4;OI PN;0
OMGE3;OMEGA GER ON;0
ONEF11;FII THE ONE;0
ORCL34;ORACLE DRN;0
OSXB3;OSX BRASIL ON;0
OUCY11;FII OURICYRE;0
OUFF11;FII OURI FOF;0
OUJP11;FII OURI JPP;0
OULG11B;FII OURILOG;0
PABY11;FII PANAMBY;0
PARD3;IHPARDINI ON;0
PATC11;FII PATRIA;0
PATI3;PANATLANTICA ON;0
PATI4;PANATLANTICA PN;0
PCAR4;P.ACUCAR-CBD PN;0
PDGR3;PDG REALT ON;0
PEAB3;PAR AL BAHIA ON;0
PEAB4;PAR AL BAHIA PN;0
PEPB34;PEPSICO INC DRN;0
PETR3;PETROBRAS ON;0
PETR4;PETROBRAS PN;0
PFIZ34;PFIZER DRN;0
PFRM3;PROFARMA ON;0
PGCO34;PG DRN;0
PHMO34;PHILIPMORRIS DRN;0
PIBB11;IT NOW PIBB CI;0
PINE4;PINE PN;0
PLAS3;PLASCAR PART ON;0
PLRI11;FII POLO I;0
PMAM3;PARANAPANEMA ON;0
PNVL3;DIMED ON;0
PNVL4;DIMED PN;0
POMO3;MARCOPOLO ON;0
POMO4;MARCOPOLO PN;0
PORD11;FII POLO CRI;0
POSI3;POSITIVO TEC ON;0
PPLA11;PPLA UNT;0
PQDP11;FII D PEDRO;0
PRIO3;PETRORIO ON;0
PRSV11;FII P VARGAS;0
PSSA3;PORTO SEGURO ON;0
PTBL3;PORTOBELLO ON;0
PTNT3;PETTENATI ON;0
PTNT4;PETTENATI PN;0
QCOM34;QUALCOMM DRN;0
QUAL3;QUALICORP ON;0
RADL3;RAIADROGASIL ON;0
RAIL3;RUMO S.A. ON;0
RANI3;CELUL IRANI ON;0
RANI4;CELUL IRANI PN;0
RAPT3;RANDON PART ON;0
RAPT4;RANDON PART PN;0
RBBV11;FII JHSF FBV;0
RBCB11;FII RIOBRCIB;0
RBDS11;FII RBRESID2;0
RBED11;FII RIOB ED;0
RBGS11;FII RB GSB I;0
RBRD11;FII RB II;0
RBRF11;FII RBRALPHA;0
RBRP11;FII RBR PROP;0
RBRR11;FII RBRHGRAD;0
RBRY11;FII RBR PCRI;0
RBVA11;FII RIOB VA;0
RBVO11;FII RIOBCRI2;0
RCSL3;RECRUSUL ON;0
RCSL4;RECRUSUL PN;0
RDES11;FII RD ESCRI;0
RDNI3;RODOBENSIMOB ON;0
RDPD11;FII BB PAPII;0
RECT11;FII UBSOFFIC;0
REDE3;REDE ENERGIA ON;0
